АНАЛИЗ КАНАЛОВ ПРОДАЖ,,,,,,
,,,,,,
,Каналы продаж,,,,,
Данные,сайт,директ,LaModa,Блогер,канал n,ИТОГО
кол-во показов,28000,130000,62000,85000,96000,=SUM(B5:F5)
кол-во переходов,2100,1100,2480,1700,768,=SUM(B6:F6)
кол-во кликов (добавлений в корзину),210,77,223,136,31,=SUM(B7:F7)
кол-во продаж,40,12,28,20,3,=SUM(B8:F8)
прибыль с продаж,86840,26052,33656,36780,6513,=SUM(B9:F9)
затрачено,17000,24000,18000,35000,22000,=SUM(B10:F10)
цена перехода,=B10/B6,=C10/C6,=D10/D6,=E10/E6,=F10/F6,=G10/G6
цена клиента,=B10/B8,=C10/C8,=D10/D8,=E10/E8,=F10/F8,=G10/G8
Деньги в кассе,=B9-B10,=C9-C10,=D9-D10,=E9-E10,=F9-F10,=G9-G10
ROAS на 1 рубль,=B9/B10,=C9/C10,=D9/D10,=E9/E10,=F9/F10,=G9/G10
показы - переходы,=B6/B5,=C6/C5,=D6/D5,=E6/E5,=F6/F5,=G6/G5
переходы - клики,=B7/B6,=C7/C6,=D7/D6,=E7/E6,=F7/F6,=G7/G6
клики - продажи,=B8/B7,=C8/C7,=D8/D7,=E8/E7,=F8/F7,=G8/G7
переходы - продажи,=B8/B6,=C8/C6,=D8/D6,=E8/E6,=F8/F6,=G8/G6
,,,,,,
СПРАВОЧНО — как получена «прибыль с продаж» (маржинальная прибыль),,,,,,
"Цена продажи, ₽",3390,3390,3390,3051,3390,
"Себестоимость юнита, ₽ (футболка 780 + принт 46 + упаковка 25)",851,851,851,851,851,
"Комиссия канала + логистика + эквайринг на 1 заказ, ₽",368,368,1337,361,368,
"Маржа с 1 заказа, ₽",2171,2171,1202,1839,2171,
"Выручка, ₽",135600,40680,94920,61020,10170,=SUM(B25:F25)
"ДРР (доля рекламных расходов в выручке), %",=B10/B25,=C10/C25,=D10/D25,=E10/E25,=F10/F25,=G10/G25
